iter	MultiClass
0	2.728528194
1	2.487543287
2	2.329394808
3	2.18315626
4	2.067493487
5	1.957527458
6	1.821881192
7	1.711637888
8	1.654800912
9	1.611950802
10	1.534436279
11	1.450753664
12	1.374210868
13	1.337311434
14	1.287436821
15	1.240906038
16	1.176190371
17	1.119826326
18	1.069028614
19	1.021190481
20	0.9766353122
21	0.9462829804
22	0.9064603905
23	0.8747909503
24	0.8568814095
25	0.8342253192
26	0.8012318557
27	0.785053453
28	0.7545836285
29	0.7178595365
30	0.6827882006
31	0.6647594915
32	0.6357894579
33	0.6207926772
34	0.6076862436
35	0.5909144697
36	0.5813819184
37	0.5684731429
38	0.5489356287
39	0.5360305536
40	0.5286791892
41	0.5054729487
42	0.4963708012
43	0.4823539603
44	0.4727491575
45	0.4587680674
46	0.448188482
47	0.4404927796
48	0.4294111766
49	0.4182104158
50	0.4040084763
51	0.3905652033
52	0.3816276345
53	0.3695902345
54	0.3617387442
55	0.3462351145
56	0.342655171
57	0.3346283831
58	0.3254443985
59	0.3192904988
60	0.3130255005
61	0.3090287193
62	0.3053758651
63	0.3004068621
64	0.2966337308
65	0.2936071844
66	0.2840867696
67	0.279946246
68	0.2739638119
69	0.2679965936
70	0.2591671312
71	0.2551010351
72	0.2494713863
73	0.2422372694
74	0.2398165048
75	0.232665441
76	0.2304291018
77	0.2274390871
78	0.2257610107
79	0.2204990502
80	0.2168710802
81	0.2132129835
82	0.2111819793
83	0.2082901108
84	0.2049693172
85	0.2014765489
86	0.198771607
87	0.1945639112
88	0.1921723123
89	0.1884252277
90	0.1855620101
91	0.1842936512
92	0.1828581843
93	0.1816401657
94	0.1792377785
95	0.178230458
96	0.1765912211
97	0.17471711
98	0.1733727167
99	0.169696869
100	0.1675435124
101	0.1644282424
102	0.1632409487
103	0.1615162309
104	0.1599889874
105	0.1578500104
106	0.1572966872
107	0.1563071667
108	0.1527118094
109	0.1500889065
110	0.1490861743
111	0.147735285
112	0.1452319408
113	0.1446493722
114	0.1439450296
115	0.1432081848
116	0.1406793586
117	0.1394433425
118	0.1385497941
119	0.1375802685
120	0.1358835732
121	0.1344094258
122	0.1333144007
123	0.1313450554
124	0.12932285
125	0.127676806
126	0.1254308778
127	0.1235245721
128	0.1228287718
129	0.1217698989
130	0.1208448942
131	0.1196005231
132	0.1192741951
133	0.1168487831
134	0.1156713739
135	0.1150795892
136	0.1146593827
137	0.1138465798
138	0.1132008103
139	0.1124980963
140	0.1113599375
141	0.1105182262
142	0.1098276832
143	0.1090263346
144	0.1076675114
145	0.1071384294
146	0.1064259571
147	0.1058570866
148	0.1047937737
149	0.1031256789
150	0.1028019662
151	0.1024750525
152	0.1022317571
153	0.1008174535
154	0.1003090208
155	0.09985326281
156	0.09927169776
157	0.09818073642
158	0.09779538578
159	0.09678926523
160	0.09584942683
161	0.09535084967
162	0.09453803828
163	0.09401933362
164	0.09354950197
165	0.09311524259
166	0.09270455976
167	0.09216210754
168	0.09177173167
169	0.09107600063
170	0.09045302763
171	0.08915941973
172	0.08859828474
173	0.08833954832
174	0.08780920659
175	0.08707410313
176	0.0859720506
177	0.08544402872
178	0.08489563149
179	0.08383324696
180	0.08300201843
181	0.0821532233
182	0.08197205836
183	0.08163634611
184	0.08105396797
185	0.08060317866
186	0.08010891354
187	0.07933328243
188	0.07903079324
189	0.07859193882
190	0.07822818896
191	0.0774437249
192	0.07705508824
193	0.07650771363
194	0.07621020566
195	0.07592223558
196	0.07559556335
197	0.07482673185
198	0.074575471
199	0.07441559758
